,XGB_CPU,LGBM
0,0.726861,0.726847112179
1,0.735278,0.735502898693
2,0.738255,0.737889707088
3,0.743109,0.742527663708
4,0.745139,0.74485296011
5,0.748269,0.748764276505
6,0.751825,0.75206631422
7,0.75402,0.753628194332
8,0.756873,0.756249189377
9,0.759786,0.759496212006
10,0.761197,0.760811686516
11,0.764159,0.762428939342
12,0.765855,0.765010476112
13,0.768786,0.767854630947
14,0.771645,0.770766973495
15,0.772898,0.772262811661
16,0.775066,0.774682998657
17,0.776717,0.775831997395
18,0.777901,0.777306437492
19,0.779118,0.779018938541
20,0.780878,0.780410528183
21,0.782297,0.781518518925
22,0.783634,0.782558500767
23,0.784774,0.783632457256
24,0.78572,0.784548163414
25,0.786589,0.785538315773
26,0.787312,0.786446988583
27,0.788291,0.787204623222
28,0.789077,0.788134157658
29,0.789612,0.789135277271
30,0.79016,0.789844512939
31,0.790673,0.790265440941
32,0.791623,0.790866971016
33,0.792233,0.791524887085
34,0.792768,0.791898727417
35,0.79316,0.792522192001
36,0.793634,0.79312556982
37,0.794158,0.793812930584
38,0.794671,0.794309973717
39,0.795148,0.794882774353
40,0.795519,0.795176923275
41,0.795913,0.795576870441
42,0.79633,0.795940995216
43,0.796689,0.796253740788
44,0.796957,0.796665132046
45,0.79731,0.796996831894
46,0.797793,0.797291398048
47,0.798189,0.79765868187
48,0.79841,0.798087894917
49,0.798696,0.798417150974
50,0.799021,0.798662006855
51,0.799384,0.798922538757
52,0.799751,0.799143016338
53,0.800134,0.799538135529
54,0.800377,0.799845695496
55,0.800569,0.800116896629
56,0.800778,0.800496459007
57,0.801338,0.800784111023
58,0.80168,0.80105984211
59,0.801904,0.801264286041
60,0.802156,0.801502764225
61,0.80241,0.801676809788
62,0.802575,0.801950991154
63,0.802753,0.802211225033
64,0.803118,0.802501499653
65,0.803312,0.802650213242
66,0.803542,0.802837014198
67,0.803761,0.803046107292
68,0.804013,0.803271651268
69,0.804143,0.803495943546
70,0.80446,0.803847312927
71,0.804612,0.804003596306
72,0.805006,0.804151594639
73,0.805136,0.804305315018
74,0.805257,0.804554641247
75,0.80559,0.804731309414
76,0.805788,0.804923653603
77,0.805908,0.80507338047
78,0.806095,0.805412590504
79,0.806239,0.805573284626
80,0.806452,0.805658280849
81,0.806565,0.805825650692
82,0.806725,0.80597370863
83,0.806936,0.806096076965
84,0.807077,0.806189239025
85,0.807302,0.806364417076
86,0.807484,0.806621968746
87,0.807573,0.806758582592
88,0.807689,0.806848168373
89,0.807811,0.807164669037
90,0.807963,0.807315349579
91,0.808046,0.807509541512
92,0.808254,0.807652831078
93,0.808463,0.80779093504
94,0.808573,0.808129668236
95,0.8087,0.8082280159
96,0.809031,0.808298766613
97,0.809161,0.80842423439
98,0.809419,0.808551728725
99,0.809525,0.808620691299
