,XGB_CPU,LGBM
0,0.670731,0.670542299747
1,0.65095,0.651212096214
2,0.633194,0.633455455303
3,0.617375,0.617287695408
4,0.602319,0.602660000324
5,0.589042,0.589946329594
6,0.576818,0.576876401901
7,0.565418,0.565820991993
8,0.554839,0.555930256844
9,0.545226,0.546380639076
10,0.535976,0.536752998829
11,0.527348,0.528146088123
12,0.518545,0.519609868526
13,0.510631,0.511799395084
14,0.503114,0.504722058773
15,0.496375,0.497706502676
16,0.489337,0.49117359519
17,0.483544,0.485041558743
18,0.478046,0.479017287493
19,0.472665,0.473262041807
20,0.46757,0.4682071805
21,0.462405,0.46398845315
22,0.457482,0.459647774696
23,0.452912,0.455158859491
24,0.448625,0.450870633125
25,0.445582,0.44667327404
26,0.441778,0.442488878965
27,0.438303,0.438978910446
28,0.434623,0.435926139355
29,0.432418,0.433286845684
30,0.429038,0.43060323596
31,0.425646,0.428070813417
32,0.423875,0.425865113735
33,0.421346,0.423060834408
34,0.419472,0.4215747118
35,0.416978,0.419586658478
36,0.415606,0.41784581542
37,0.413536,0.416195213795
38,0.411888,0.414063602686
39,0.411161,0.41328009963
40,0.410501,0.411146908998
41,0.409801,0.410447865725
42,0.409299,0.409775555134
43,0.407277,0.408856213093
44,0.406378,0.408177554607
45,0.406055,0.406038552523
46,0.405703,0.40557706356
47,0.405453,0.404708057642
48,0.402536,0.403826951981
49,0.401075,0.403426021338
50,0.400397,0.400623947382
51,0.400043,0.400090992451
52,0.397429,0.397684752941
53,0.397202,0.396674871445
54,0.396632,0.39631202817
55,0.395461,0.395847558975
56,0.395078,0.393779814243
57,0.39486,0.393299549818
58,0.394565,0.392903953791
59,0.394214,0.392417222261
60,0.393757,0.391783475876
61,0.393333,0.390179246664
62,0.392294,0.38941398263
63,0.392136,0.388793498278
64,0.39192,0.387989670038
65,0.39172,0.38630592823
66,0.391293,0.385473608971
67,0.390802,0.384841144085
68,0.390626,0.383883714676
69,0.389801,0.383514106274
70,0.389533,0.382009983063
71,0.389214,0.381388634443
72,0.389054,0.380775034428
73,0.388857,0.379657834768
74,0.387997,0.378346890211
75,0.387777,0.376757651567
76,0.387224,0.37596654892
77,0.386935,0.375290304422
78,0.386626,0.374859243631
79,0.386431,0.37416601181
80,0.386273,0.373652666807
81,0.386044,0.373097062111
82,0.385481,0.372433364391
83,0.384673,0.372206419706
84,0.384608,0.370245754719
85,0.38419,0.369773387909
86,0.382476,0.369295924902
87,0.382205,0.368818938732
88,0.381734,0.36621171236
89,0.381519,0.365656226873
90,0.381316,0.363380432129
91,0.38007,0.36193433404
92,0.379798,0.361490339041
93,0.379357,0.36077028513
94,0.378876,0.358894884586
95,0.378697,0.357369095087
96,0.376896,0.355383008718
97,0.375438,0.35388430953
98,0.375302,0.3531242311
99,0.374712,0.351588308811
