,XGB,XGB_GPU,LGB
f5,0.0599880955056,0.0587711710424,0.0493236663124
f11,0.0509466454768,0.0510063182635,0.0550761134316
f9,0.0505189314151,0.0506299627515,0.0554692041873
f19,0.0501658624186,0.0499190194698,0.0715095472339
f26,0.0492419771578,0.0496839002638,0.0657730282715
f8,0.0462319897547,0.0467061482148,0.0623820033278
f12,0.0461668930156,0.0459262109431,0.0530970196864
f13,0.0459039780389,0.0458142472155,0.0598254411314
f22,0.0458294166887,0.0464449542007,0.0582218786259
f17,0.0444130795212,0.0446454927634,0.0441324251182
f7,0.0442527720904,0.0447780070823,0.0394234600227
f14,0.0435738113749,0.043681990416,0.0413027056948
f21,0.0426110751376,0.0430239647883,0.0396535460979
f2,0.042179242276,0.0425516364331,0.0429395655274
f20,0.0414173246149,0.0407435445574,0.0348872646962
f1,0.0407096198627,0.0407003267153,0.0364085024352
f0,0.040391434773,0.0405303704116,0.0347528962452
f25,0.0387364071734,0.0379456506735,0.0298470365779
f23,0.0379660391021,0.0378367809811,0.0364854577626
f4,0.0341525146349,0.0340322027823,0.0275734582656
f16,0.0132819798695,0.0130907796686,0.00778361799195
f24,0.0132616574518,0.0132075763452,0.00786397586949
f10,0.0131225143597,0.0129554725061,0.0078264021593
f27,0.0130861967432,0.0131035139231,0.00763386906835
f18,0.0130722212345,0.0129243628013,0.00765116743035
f3,0.0130417929502,0.013348037669,0.00797653071473
f15,0.0129424369535,0.0130001823579,0.00750298077264
f6,0.0127940904045,0.0129981747594,0.00767723534125
