,XGB,XGB_GPU,LGB
f15,0.0574062751269,0.0586840585449,0.0474778498638
f22,0.0516804547273,0.0514398252585,0.0666153598052
f4,0.0513075994818,0.0516816047902,0.0685776937137
f25,0.0497907649543,0.0501527144996,0.0613864186434
f12,0.0487374343306,0.0488186994194,0.0603374323227
f20,0.0469144489161,0.0462309586927,0.0496859917368
f27,0.0468775589511,0.0462694415844,0.0555655303816
f18,0.0468225061329,0.0471208575118,0.0428504603773
f13,0.0467942277902,0.0473428849256,0.0576376986089
f19,0.046599436558,0.0469380125719,0.0501447045407
f8,0.0462836886496,0.0455901524973,0.0434357213332
f6,0.0453189739505,0.0451095497235,0.0490068447536
f3,0.0445315767636,0.0450122289058,0.0443735365013
f9,0.0437580048458,0.044442166424,0.0373082600325
f21,0.0423053904835,0.0417470222866,0.0424675234997
f14,0.0414325723283,0.0420937430561,0.0406870271601
f7,0.0407788017422,0.0402461371308,0.0367350105251
f10,0.0407515493392,0.0407219493805,0.0365084469838
f24,0.0399947164548,0.0400319805606,0.0332931444188
f17,0.0359206821272,0.0362833133544,0.0283949306055
f11,0.0108770689262,0.0104967373904,0.00601621803194
f2,0.0108737857869,0.0105968348412,0.0059495503188
f26,0.0108250213455,0.0108138977384,0.00596348600587
f23,0.0108189957754,0.0105988328136,0.00577259871051
f5,0.01069687326,0.0104646706731,0.00586679684182
f0,0.0106676028917,0.0103571467443,0.00601504768622
f1,0.010664441412,0.010268850233,0.00597316608398
f16,0.0105695469484,0.0104457284474,0.00595355051294
